status,title,total_price,price,admin_fee,layout,area,nearest_station,walk_minutes,walking_distance_actual,address,access,url,last_updated,source
active,JPnoie門前仲町,13.7,12.5,1.2,1DK,25.15,門前仲町駅,5,7.0,東京都江東区古石場１,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩3分
東京メトロ有楽町線/月島駅 歩13分",https://suumo.jp/chintai/jnc_000101728841/?bc=100462643918,2025-12-06 10:59:08,SUUMO
active,JPnoie門前仲町,14.2,13.0,1.2,1DK,25.15,門前仲町駅,5,7.0,東京都江東区古石場１,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩3分
東京メトロ有楽町線/月島駅 歩13分",https://suumo.jp/chintai/jnc_000102386381/?bc=100469147728,2025-12-06 10:59:08,SUUMO
active,グラシア　プレイス　東陽町,13.4,11.9,1.5,1DK,25.33,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
ＪＲ京葉線/潮見駅 歩28分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000101952938/?bc=100468821401,2025-12-06 10:59:08,SUUMO
active,グラシア　プレイス　東陽町,13.5,12.0,1.5,1DK,25.59,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
ＪＲ京葉線/潮見駅 歩28分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000101186098/?bc=100461127225,2025-12-07 23:17:25,SUUMO
active,SYFORME MONZEN-NAKACHO,13.15,12.15,1.0,1DK,25.66,門前仲町駅,5,6.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分
東京メトロ半蔵門線/水天宮前駅 歩18分",https://suumo.jp/chintai/jnc_000102324194/?bc=100469198510,2025-12-06 10:59:08,SUUMO
active,SYFORME MONZEN-NAKACHO,13.4,12.4,1.0,1DK,28.2,門前仲町駅,5,6.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分
東京メトロ半蔵門線/水天宮前駅 歩18分",https://suumo.jp/chintai/jnc_000102799302/?bc=100472566335,2025-12-06 10:59:08,SUUMO
active,SYFORME MONZEN-NAKACHO,15.0,13.0,2.0,1DK,28.2,門前仲町駅,5,6.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分
東京メトロ半蔵門線/水天宮前駅 歩18分",https://suumo.jp/chintai/jnc_000100680855/?bc=100468190935,2025-12-06 10:59:08,SUUMO
active,エスポワール門前仲町,13.4,12.2,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000102932465/?bc=100476474719,2025-12-06 10:59:08,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000103057491/?bc=100474615774,2025-12-06 10:59:08,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000103294444/?bc=100476486571,2025-12-06 10:59:08,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000103306973/?bc=100476504787,2025-12-07 03:47:36,SUUMO
active,シティフォレスト森下,12.5,12.5,0.0,1DK,25.37,菊川駅,6,7.0,東京都江東区森下３,"都営新宿線/菊川駅 歩6分
都営新宿線/森下駅 歩6分
東京メトロ半蔵門線/清澄白河駅 歩11分",https://suumo.jp/chintai/jnc_000100496259/?bc=100468564787,2025-12-06 10:59:08,SUUMO
active,シティフォレスト森下,12.7,12.7,0.0,1DK,25.37,菊川駅,6,7.0,東京都江東区森下３,"都営新宿線/菊川駅 歩6分
都営新宿線/森下駅 歩6分
東京メトロ半蔵門線/清澄白河駅 歩11分",https://suumo.jp/chintai/jnc_000100496262/?bc=100473686378,2025-12-06 10:59:08,SUUMO
active,コスモグラシア清澄白河,12.6,12.0,0.6,1DK,32.3,清澄白河駅,6,6.0,東京都江東区平野２,"都営大江戸線/清澄白河駅 歩6分
東京メトロ東西線/門前仲町駅 歩13分
都営新宿線/菊川駅 歩17分",https://suumo.jp/chintai/jnc_000102679114/?bc=100471753683,2025-12-07 03:47:36,SUUMO
active,アーバネックス深川木場,13.5,12.5,1.0,1DK,25.25,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩18分",https://suumo.jp/chintai/jnc_000102853961/?bc=100473442804,2025-12-06 10:59:08,SUUMO
active,アーバネックス深川木場,13.5,12.5,1.0,1DK,25.2,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩18分",https://suumo.jp/chintai/jnc_000100594758/?bc=100452784176,2025-12-06 10:59:08,SUUMO
active,アーバネックス深川木場,14.0,13.0,1.0,1DK,25.25,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩18分",https://suumo.jp/chintai/jnc_000101601917/?bc=100462119919,2025-12-06 10:59:08,SUUMO
active,クオリタス門前仲町,13.4,11.9,1.5,1DK,25.3,門前仲町駅,7,7.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩7分
東京メトロ東西線/木場駅 歩12分
東京メトロ半蔵門線/清澄白河駅 歩15分",https://suumo.jp/chintai/jnc_000102493229/?bc=100470110799,2025-12-06 10:59:08,SUUMO
active,コンポジット清澄イースト,13.1,12.6,0.5,1DK,27.0,清澄白河駅,3,3.0,東京都江東区白河２,"東京メトロ半蔵門線/清澄白河駅 歩3分
都営大江戸線/森下駅 歩12分
都営新宿線/菊川駅 歩12分",https://suumo.jp/chintai/jnc_000103324262/?bc=100476530915,2025-12-07 23:17:25,SUUMO
active,コンポジット清澄イースト,13.1,12.6,0.5,1DK,27.0,清澄白河駅,2,3.0,東京都江東区白河２,"東京メトロ半蔵門線/清澄白河駅 歩2分
都営大江戸線/森下駅 歩10分
都営新宿線/菊川駅 歩10分",https://suumo.jp/chintai/jnc_000103316702/?bc=100476583257,2025-12-06 10:59:08,SUUMO
active,CREAL門前仲町II,13.2,12.4,0.8,1DK,25.28,門前仲町駅,6,9.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩6分
東京メトロ東西線/木場駅 歩12分
都営大江戸線/清澄白河駅 歩14分",https://suumo.jp/chintai/jnc_000102914572/?bc=100476305427,2025-12-06 10:59:08,SUUMO
active,CREAL門前仲町II,13.4,12.6,0.8,1DK,25.36,門前仲町駅,6,9.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩6分
東京メトロ東西線/木場駅 歩12分
都営大江戸線/清澄白河駅 歩14分",https://suumo.jp/chintai/jnc_000101682456/?bc=100462154515,2025-12-06 10:59:08,SUUMO
active,CREAL門前仲町II,13.9,12.6,1.3,1DK,25.36,門前仲町駅,6,9.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩6分
東京メトロ東西線/木場駅 歩12分
都営大江戸線/清澄白河駅 歩14分",https://suumo.jp/chintai/jnc_000102159495/?bc=100467068858,2025-12-06 12:02:00,SUUMO
active,東京メトロ半蔵門線 清澄白河駅 4階建 築3年,13.1,12.6,0.5,1DK,27.0,清澄白河駅,2,2.0,東京都江東区白河２,"東京メトロ半蔵門線/清澄白河駅 歩2分
都営大江戸線/清澄白河駅 歩7分
都営新宿線/菊川駅 歩12分",https://suumo.jp/chintai/jnc_000103316703/?bc=100476566008,2025-12-07 03:47:36,SUUMO
active,レジデンス門前仲町スクエア,14.0,12.5,1.5,2K,26.35,門前仲町駅,6,9.0,東京都江東区深川１,"東京メトロ東西線/門前仲町駅 歩6分
東京メトロ半蔵門線/清澄白河駅 歩9分
ＪＲ京葉線/越中島駅 歩14分",https://suumo.jp/chintai/jnc_000101412419/?bc=100459361092,2025-12-06 10:59:08,SUUMO
active,レジデンス門前仲町スクエア,14.2,12.7,1.5,2K,26.35,門前仲町駅,6,9.0,東京都江東区深川１,"都営大江戸線/門前仲町駅 歩6分
東京メトロ半蔵門線/清澄白河駅 歩8分
都営新宿線/森下駅 歩16分",https://suumo.jp/chintai/jnc_000102056001/?bc=100459774937,2025-12-07 23:17:25,SUUMO
active,レジデンス門前仲町スクエア,14.4,12.9,1.5,2K,26.35,門前仲町駅,6,9.0,東京都江東区深川１,"都営大江戸線/門前仲町駅 歩6分
東京メトロ半蔵門線/清澄白河駅 歩8分
都営新宿線/森下駅 歩16分",https://suumo.jp/chintai/jnc_000101425398/?bc=100461788082,2025-12-07 23:17:25,SUUMO
active,クリアル新富町,13.9,12.9,1.0,1DK,25.0,新富町駅,4,4.0,東京都中央区湊３,"東京メトロ有楽町線/新富町駅 歩4分
東京メトロ日比谷線/築地駅 歩7分
ＪＲ京葉線/八丁堀駅 歩9分",https://suumo.jp/chintai/jnc_000102422882/?bc=100472170690,2025-12-06 10:59:08,SUUMO
active,東京メトロ東西線 門前仲町駅 12階建 築5年,13.7,12.5,1.2,1DK,25.15,門前仲町駅,5,8.0,東京都江東区古石場１,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩3分
都営大江戸線/門前仲町駅 歩5分",https://suumo.jp/chintai/jnc_000101753288/?bc=100463405840,2025-12-06 10:59:08,SUUMO
active,ガーラ・アヴェニュー木場,11.5,10.6,0.9,2K,25.43,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
東京メトロ東西線/東陽町駅 歩6分",https://suumo.jp/chintai/jnc_000103306959/?bc=100476506118,2025-12-07 03:47:36,SUUMO
active,ガーラ・アヴェニュー木場,12.4,11.5,0.9,2K,25.43,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
東京メトロ東西線/東陽町駅 歩6分",https://suumo.jp/chintai/jnc_000102777219/?bc=100473692046,2025-12-06 10:59:08,SUUMO
active,グランド・ガーラ木場,11.0,10.0,1.0,2K,25.51,木場駅,6,7.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩6分
東京メトロ東西線/東陽町駅 歩6分
ＪＲ京葉線/潮見駅 歩27分",https://suumo.jp/chintai/jnc_000102654802/?bc=100475041167,2025-12-06 10:59:08,SUUMO
active,グランド・ガーラ木場,11.0,10.0,1.0,1DK,25.51,東陽町駅,6,7.0,東京都江東区東陽１,"東京メトロ東西線/東陽町駅 歩6分
ＪＲ京葉線/潮見駅 歩27分
東京メトロ半蔵門線/清澄白河駅 歩35分",https://suumo.jp/chintai/jnc_000103324265/?bc=100475791245,2025-12-06 12:02:00,SUUMO
active,グランド・ガーラ木場,11.3,10.4,0.9,2K,25.51,東陽町駅,6,7.0,東京都江東区東陽１,"東京メトロ東西線/東陽町駅 歩6分
ＪＲ京葉線/潮見駅 歩27分
東京メトロ半蔵門線/清澄白河駅 歩35分",https://suumo.jp/chintai/jnc_000102948114/?bc=100473826565,2025-12-07 03:47:36,SUUMO
active,GENOVIA木場II,12.75,11.75,1.0,1DK,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000083376058/?bc=100460733317,2025-12-07 23:17:25,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,2K,25.81,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
ＪＲ京葉線/潮見駅 歩26分",https://suumo.jp/chintai/jnc_000102799324/?bc=100472749694,2025-12-06 10:59:08,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,1DK,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
ＪＲ京葉線/潮見駅 歩26分",https://suumo.jp/chintai/jnc_000102799329/?bc=100472580365,2025-12-06 10:59:08,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,1DK,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩22分",https://suumo.jp/chintai/jnc_000102799328/?bc=100472749675,2025-12-07 03:47:36,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,2K,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
ＪＲ京葉線/潮見駅 歩26分",https://suumo.jp/chintai/jnc_000102799325/?bc=100472518516,2025-12-06 10:59:08,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,1DK,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
ＪＲ京葉線/潮見駅 歩26分",https://suumo.jp/chintai/jnc_000102799326/?bc=100476328002,2025-12-06 10:59:08,SUUMO
active,ガーラ・アヴェニュー木場,12.4,11.5,0.9,2K,25.43,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
東京メトロ東西線/東陽町駅 歩6分
東京メトロ東西線/門前仲町駅 歩18分",https://suumo.jp/chintai/jnc_000102777219/?bc=100473700204,2025-12-06 12:02:00,SUUMO
active,JPnoie門前仲町,13.7,12.5,1.2,1DK,25.15,門前仲町駅,5,7.0,東京都江東区古石場１,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩3分
東京メトロ有楽町線/月島駅 歩13分",https://suumo.jp/chintai/jnc_000101728841/?bc=100472670797,2025-12-06 12:02:00,SUUMO
active,JPnoie門前仲町,14.2,13.0,1.2,1DK,25.15,門前仲町駅,5,7.0,東京都江東区古石場１,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩3分
東京メトロ有楽町線/月島駅 歩13分",https://suumo.jp/chintai/jnc_000102386381/?bc=100469145901,2025-12-06 12:02:00,SUUMO
active,グラシア　プレイス　東陽町,13.4,11.9,1.5,1DK,25.59,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
ＪＲ京葉線/潮見駅 歩28分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000101952938/?bc=100465077182,2025-12-07 03:47:36,SUUMO
active,ＳＹＦＯＲＭＥ　ＭＯＮＺＥＮ ＮＡＫＡＣＨＯ,13.15,12.15,1.0,1DK,25.66,門前仲町駅,5,1.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分
東京メトロ半蔵門線/水天宮前駅 歩18分",https://suumo.jp/chintai/jnc_000102324194/?bc=100468587113,2025-12-07 23:17:25,SUUMO
active,SYFORME　MONZEN-NAKACHO,13.4,12.4,1.0,1DK,28.2,門前仲町駅,5,1.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分",https://suumo.jp/chintai/jnc_000102799302/?bc=100472620432,2025-12-06 12:02:00,SUUMO
active,SYFORME　MONZEN-NAKACHO,15.0,13.0,2.0,1DK,28.2,門前仲町駅,5,1.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分",https://suumo.jp/chintai/jnc_000100680855/?bc=100468280314,2025-12-06 12:02:00,SUUMO
active,エスポワール門前仲町,13.4,12.2,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩14分
ＪＲ京葉線/越中島駅 歩18分",https://suumo.jp/chintai/jnc_000102932465/?bc=100474063571,2025-12-06 12:02:00,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩14分
ＪＲ京葉線/越中島駅 歩18分",https://suumo.jp/chintai/jnc_000103057491/?bc=100474664362,2025-12-06 12:02:00,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩14分
ＪＲ京葉線/越中島駅 歩18分",https://suumo.jp/chintai/jnc_000103294444/?bc=100476488231,2025-12-06 12:02:00,SUUMO
active,シティフォレスト森下,12.5,12.5,0.0,1DK,25.37,森下駅,6,6.0,東京都江東区森下３,"都営大江戸線/森下駅 歩6分
都営新宿線/菊川駅 歩7分
都営大江戸線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000100496259/?bc=100459907615,2025-12-06 12:02:00,SUUMO
active,シティフォレスト森下,12.7,12.7,0.0,1DK,25.37,森下駅,6,6.0,東京都江東区森下３,"都営大江戸線/森下駅 歩6分
都営新宿線/菊川駅 歩7分
都営大江戸線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000100496262/?bc=100466140395,2025-12-06 12:02:00,SUUMO
active,アーバネックス深川木場,13.5,12.5,1.0,1DK,25.25,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩7分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000102853961/?bc=100476327852,2025-12-07 23:17:25,SUUMO
active,アーバネックス深川木場,13.5,12.5,1.0,1DK,25.2,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩7分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000100594758/?bc=100471114629,2025-12-06 12:02:00,SUUMO
active,アーバネックス深川木場,14.0,13.0,1.0,1DK,25.25,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩7分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000101601917/?bc=100461272174,2025-12-06 12:02:00,SUUMO
active,クオリタス門前仲町,13.4,11.9,1.5,1DK,25.3,門前仲町駅,7,7.0,東京都江東区冬木,"都営大江戸線/門前仲町駅 歩7分
東京メトロ東西線/木場駅 歩12分
東京メトロ半蔵門線/清澄白河駅 歩15分",https://suumo.jp/chintai/jnc_000102493229/?bc=100470109385,2025-12-06 12:02:00,SUUMO
active,コンポジット清澄イースト,13.1,12.6,0.5,1DK,27.0,清澄白河駅,3,3.0,東京都江東区白河２,"東京メトロ半蔵門線/清澄白河駅 歩3分
都営新宿線/菊川駅 歩12分
都営大江戸線/森下駅 歩12分",https://suumo.jp/chintai/jnc_000103316702/?bc=100476588908,2025-12-06 12:02:00,SUUMO
